id📚|📚url📚|📚title📚|📚lastUpdate📚|📚link📚|📚lastHttpStatus📚|📚dead📚|📚contentType📚|📚itunesId📚|📚originalUrl📚|📚itunesAuthor📚|📚itunesOwnerName📚|📚explicit📚|📚imageUrl📚|📚itunesType📚|📚generator📚|📚newestItemPubdate📚|📚language📚|📚oldestItemPubdate📚|📚episodeCount📚|📚popularityScore📚|📚priority📚|📚createdOn📚|📚updateFrequency📚|📚chash📚|📚host📚|📚newestEnclosureUrl📚|📚podcastGuid📚|📚description📚|📚category1📚|📚category2📚|📚category3📚|📚category4📚|📚category5📚|📚category6📚|📚category7📚|📚category8📚|📚category9📚|📚category10📚|📚newestEnclosureDuration
1📚|📚https://markalanwilliams.libsyn.com/rss📚|📚"Christianity Questions and Answers"📚|📚1757063211📚|📚http://markalanwilliams.libsyn.com/webpage📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000000618📚|📚https://markalanwilliams.libsyn.com/rss📚|📚"Dr. Mark Alan Williams"📚|📚"Mark Williams"📚|📚0📚|📚https://static.libsyn.com/p/assets/e/7/5/d/e75de19145e2153b/thumb.jpg📚|📚episodic📚|📚"Libsyn WebEngine 2.0"📚|📚1610226815📚|📚en📚|📚1432837532📚|📚90📚|📚9📚|📚-1📚|📚1596752487📚|📚9📚|📚52ad7fcfa9cf5e7e2b5abf9c1ee6da85📚|📚libsyn.com📚|📚https://traffic.libsyn.com/secure/markalanwilliams/001_Are_all_sins_equal.mp3?dest-id=278964📚|📚78e9f51b-0ac3-5711-a921-1f2c7b5dbb35📚|📚"Dr. Mark Alan Williams and friends answer questions about the Christian faith: questions about the God, Jesus, the Bible, eternity, belief, religion the reasonableness of faith and others."📚|📚religion📚|📚spirituality📚|📚christianity📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚384
2📚|📚https://anchor.fm/s/19ccb320/podcast/rss📚|📚"Rahdo Talks Through"📚|📚1757152913📚|📚https://patreon.com/rahdo📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000016089📚|📚https://anchor.fm/s/19ccb320/podcast/rss📚|📚"Richard Ham"📚|📚"Richard Ham"📚|📚0📚|📚https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/4228456/81316933823cb437.jpeg📚|📚episodic📚|📚"Anchor Podcasts"📚|📚1716150169📚|📚en📚|📚1433041200📚|📚464📚|📚9📚|📚5📚|📚1596752487📚|📚9📚|📚f9fce8424a9918be9182c2d67fc51c16📚|📚anchor.fm📚|📚https://traffic.megaphone.fm/APO8753353300.mp3📚|📚655b4e1a-4deb-56a2-9256-cad10f099410📚|📚"A podcast all about boardgames, hosted by Richard ""Rahdo"" Ham"📚|📚leisure📚|📚games📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚17918
4📚|📚https://feeds.soundcloud.com/users/soundcloud:users:150466516/sounds.rss📚|📚IdiotSpeakShow📚|📚1757151332📚|📚https://soundcloud.com/idiotspeakshow📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000035657📚|📚http://feeds.soundcloud.com/users/soundcloud:users:150466516/sounds.rss📚|📚IdiotSpeakShow📚|📚IdiotSpeakShow📚|📚0📚|📚https://i1.sndcdn.com/avatars-000143391344-h7vuir-original.png📚|📚episodic📚|📚""📚|📚1432935194📚|📚en📚|📚1432337604📚|📚2📚|📚9📚|📚-1📚|📚1596752487📚|📚9📚|📚3414348449422fc0970d059cc680d0ab📚|📚soundcloud.com📚|📚https://feeds.soundcloud.com/stream/206778721-idiotspeakshow-idiotspeak-episode-3-game-of-spoilers.mp3📚|📚7fba92fb-42eb-56da-b562-cef9d2cf2546📚|📚"Podcast by IdiotSpeakShow"📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚2722
5📚|📚https://audioboom.com/channels/4597972.rss📚|📚"Conciertos en el Living"📚|📚1757177650📚|📚http://conciertosenelliving.com/podcast/📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000035702📚|📚https://audioboom.com/channels/4597972.rss📚|📚"Conciertos en el Living"📚|📚""📚|📚0📚|📚https://audioboom.com/i/18313196.jpg📚|📚episodic📚|📚audioboom.com📚|📚1462919594📚|📚es📚|📚1428532012📚|📚19📚|📚9📚|📚-1📚|📚1596752487📚|📚9📚|📚2aa375615663506e87f710ec8524afd2📚|📚audioboom.com📚|📚https://dts.podtrac.com/redirect.mp3/audioboom.com/posts/3845502.mp3?modified=1578276820&sid=4597972&source=rss📚|📚7de80904-5ecf-5a91-8818-2d9a02926ccd📚|📚""📚|📚music📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚738
6📚|📚https://anchor.fm/s/212c47d4/podcast/rss📚|📚OriginALL📚|📚1757158359📚|📚https://originall.citypodcast.ro📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000035707📚|📚https://anchor.fm/s/212c47d4/podcast/rss📚|📚CityPodcast📚|📚CityPodcast📚|📚0📚|📚https://d3t3ozftmdmh3i.cloudfront.net/production/podcast_uploaded_nologo/5465501/5465501-1618684011189-dc76d23a8863c.jpg📚|📚episodic📚|📚"Anchor Podcasts"📚|📚1663751449📚|📚ro📚|📚1432937220📚|📚49📚|📚9📚|📚-1📚|📚1596752487📚|📚9📚|📚256f22c369b872a5b1f73c8636d21053📚|📚anchor.fm📚|📚https://anchor.fm/s/212c47d4/podcast/play/57892884/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-8-21%2Fe32288eb-404b-0257-aea7-f76cb3846e1c.mp3📚|📚fc42afa1-1aa7-52dd-aa49-851ae703a66a📚|📚"OriginALL este un show cu oameni inteligenți pe care vrei să-i asculți pentru că ei sunt cei care schimbă mentalitatea României. Podcast-ul este realizat, încă din anul 2015, de Adrian Boioglu pentru rețeaua CityPodcast - htpps://www.citypodcast.ro"📚|📚business📚|📚careers📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚2586
7📚|📚http://feeds.feedburner.com/DirtBikePodcast📚|📚"2017 U.S. Dirt Bike Events"📚|📚1717655168📚|📚http://www.usdualsports.com/feeds/posts/default📚|📚200📚|📚0📚|📚"text/xml; charset=UTF-8"📚|📚1000044791📚|📚http://feeds.feedburner.com/DirtBikePodcast📚|📚"Mark Siddons"📚|📚"Mark Siddons"📚|📚0📚|📚""📚|📚""📚|📚Blogger📚|📚0📚|📚""📚|📚0📚|📚1📚|📚9📚|📚-1📚|📚1596752487📚|📚9📚|📚05fb7718de54577acaeaa95597d370c7📚|📚feedburner.com📚|📚http://ia601505.us.archive.org/4/items/DualSport662015/Dual%20Sport%206-6-2015.mp3📚|📚68432d76-bb8d-5d16-9e76-2396c9d52704📚|📚"A site that lists every U.S. Dual Sport Rides, Enduro Rides, Hare Scrambles, Adventure Rides, Dirt Biking, Motocross. You can also find reviews on Dirt Bike products along with dirt bike gear, and products to make your dirt bike street legal."📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""
8📚|📚https://anchor.fm/s/28f184c/podcast/rss📚|📚"RNG Show"📚|📚1756673750📚|📚https://podcasters.spotify.com/pod/show/rngshow📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000075223📚|📚https://anchor.fm/s/28f184c/podcast/rss📚|📚"RNG Media"📚|📚"RNG Media"📚|📚0📚|📚https://d3t3ozftmdmh3i.cloudfront.net/production/podcast_uploaded_nologo/329323/329323-1540065358182-3c35de8fb1d28.jpg📚|📚episodic📚|📚"Anchor Podcasts"📚|📚1717966429📚|📚en📚|📚1517097600📚|📚154📚|📚9📚|📚-1📚|📚1596752487📚|📚9📚|📚98b09de08d28f881c3229921b6fdf451📚|📚anchor.fm📚|📚https://anchor.fm/s/28f184c/podcast/play/87819087/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-5-9%2F5fe73e41-2442-a7cf-2286-5b7bda63726e.mp3📚|📚6ac4018d-ce57-5468-bb8b-d804699b9371📚|📚"Every season of Survivor we draft the castaways onto separate teams in a fantasy league and see who among us can form the ultimate team that will outlast the rest. Join us every week as we run through major events from the latest episode and make strategic trades to edge out the competition."📚|📚tv📚|📚film📚|📚reviews📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚2480
9📚|📚https://galaktacus.libsyn.com/rss📚|📚Galaktacus📚|📚1756808759📚|📚http://galaktacus.libsyn.com/podcast📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000081327📚|📚https://galaktacus.libsyn.com/rss📚|📚"Jim Kettner, John Mihaly, and Scott Brown"📚|📚"Scott Brown"📚|📚1📚|📚https://static.libsyn.com/p/assets/7/1/3/8/7138a0d481bf56dd/GalaktacusLogo4Thumb.jpg📚|📚episodic📚|📚"Libsyn WebEngine 2.0"📚|📚1516221691📚|📚en📚|📚1432224000📚|📚98📚|📚9📚|📚-1📚|📚1596752487📚|📚9📚|📚bf8a938573931171a2b1c8d0f2530ad3📚|📚libsyn.com📚|📚https://traffic.libsyn.com/secure/galaktacus/Galaktacus__ZERO.mp3?dest-id=274667📚|📚42786380-17ae-5028-85b5-c9c937ce235b📚|📚"The name Galaktacus originates from a youthful mispronunciation of a classic comic book character best known for eating planets. Before all of the blockbuster film franchises and the non-stop spoiler-filled internet coverage there was limited space to openly discuss such topics let alone their proper pronunciations. (""Is it Mag-neato or Mag-net-o?"") So with that in mind, what started as a long-running, inside joke has now become a word that best defines the spirit of this podcast—looking at comic books, sci-fi, film, television, music, literature and gaming from the perspective of individuals who have grown up in this evolving ""nerd culture"" and are amazed by the ways in which it has taken over the mainstream. Galaktacus attempts to eschew that ""angry nerd"" character and celebrate the good, the bad and the weird that comes along with this current golden age of pop culture. So let the devouring begin!"📚|📚tv📚|📚film📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚6306
10📚|📚https://sportsfromherperspective.podomatic.com/rss2.xml📚|📚"Sports From Her Perspective"📚|📚1755076642📚|📚https://www.podomatic.com/podcasts/sportsfromherperspective📚|📚200📚|📚0📚|📚"application/xml; charset=utf-8"📚|📚1000083229📚|📚http://sportsfromherperspective.podomatic.com/rss2.xml📚|📚"Sports From Her Perspective"📚|📚"Sports From Her Perspective"📚|📚0📚|📚https://assets.podomatic.net/ts/e3/d4/66/sportsfromherperspective/1400x1400_10637189.jpg📚|📚episodic📚|📚"Podomatic RSS Generator"📚|📚1601347864📚|📚en-us📚|📚1432698149📚|📚33📚|📚9📚|📚-1📚|📚1596752487📚|📚9📚|📚ff4d2891ae07bdba33f3f3684c9f2623📚|📚podomatic.com📚|📚https://sportsfromherperspective.podomatic.com/enclosure/2020-09-28T19_51_04-07_00.mp3?_=1601347968.15092706📚|📚ec83484f-a8f2-5629-b529-8b664c88767e📚|📚"This will be a podcast of sports topics that don't make the show! There's so much going on in the world of sports and just want to touch on all the topics!"📚|📚sports📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚2918
11📚|📚https://feeds.soundcloud.com/users/soundcloud:users:37022259/sounds.rss📚|📚"Romos Music"📚|📚1729266990📚|📚https://soundcloud.com/romibee📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000090525📚|📚http://feeds.soundcloud.com/users/soundcloud:users:37022259/sounds.rss📚|📚Romos📚|📚"Romi Bee"📚|📚0📚|📚https://i1.sndcdn.com/avatars-7zflGQ938I9tEd9W-m0eUtg-original.jpg📚|📚episodic📚|📚""📚|📚1557248128📚|📚en📚|📚1421672839📚|📚10📚|📚6📚|📚-1📚|📚1596752487📚|📚9📚|📚f5e26f4a8084b354236a3e080ad24b95📚|📚soundcloud.com📚|📚http://feeds.soundcloud.com/stream/1058477563-romixyx-addictions-2.mp3📚|📚9db5033c-3ee9-5491-808d-6815d5baf2bb📚|📚"Podcast by Romos"📚|📚music📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚147
